,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
57,52,Normal,,250,40,45,35,40,40,90,1,False
58,53,Normal,,375,65,70,60,65,65,115,1,False
59,54,Water,,270,50,52,48,65,50,55,1,False
60,55,Water,,420,80,82,78,95,80,85,1,False
61,56,Fighting,,260,40,80,35,35,45,70,1,False
62,57,Fighting,,385,65,105,60,60,70,95,1,False
63,58,Fire,,300,55,70,45,70,50,60,1,False
64,59,Fire,,475,90,110,80,100,80,95,1,False
65,60,Water,,260,40,50,40,40,40,90,1,False
66,61,Water,,335,65,65,65,50,50,90,1,False
67,62,Water,Fighting,420,90,95,95,70,90,70,1,False
68,63,Psychic,,255,25,20,15,105,55,90,1,False
69,64,Psychic,,330,40,35,30,120,70,105,1,False
70,65,Psychic,,405,55,50,45,135,95,120,1,False
71,65,Psychic,,495,55,50,65,175,95,150,1,False
72,66,Fighting,,270,70,80,50,35,35,35,1,False
73,67,Fighting,,345,80,100,70,50,60,45,1,False
74,68,Fighting,,420,90,130,80,65,85,55,1,False
75,69,Grass,Poison,270,50,75,35,70,30,40,1,False
76,70,Grass,Poison,345,65,90,50,85,45,55,1,False
77,71,Grass,Poison,420,80,105,65,100,70,70,1,False
78,72,Water,Poison,235,40,40,35,50,100,70,1,False
79,73,Water,Poison,395,80,70,65,80,120,100,1,False
80,74,Rock,Ground,270,40,80,100,30,30,20,1,False
81,75,Rock,Ground,345,55,95,115,45,45,35,1,False
82,76,Rock,Ground,430,80,120,130,55,65,45,1,False
83,77,Fire,,345,50,85,55,65,65,90,1,False
84,78,Fire,,420,65,100,70,80,80,105,1,False
85,79,Water,Psychic,275,90,65,65,40,40,15,1,False
86,80,Water,Psychic,410,95,75,110,100,80,30,1,False
87,80,Water,Psychic,510,95,75,180,130,80,30,1,False
88,81,Electric,Steel,270,25,35,70,95,55,45,1,False
89,82,Electric,Steel,395,50,60,95,120,70,70,1,False
90,83,Normal,Flying,290,52,65,55,58,62,60,1,False
91,84,Normal,Flying,275,35,85,45,35,35,75,1,False
92,85,Normal,Flying,400,60,110,70,60,60,100,1,False
93,86,Water,,255,65,45,55,45,70,45,1,False
94,87,Water,Ice,380,90,70,80,70,95,70,1,False
95,88,Poison,,275,80,80,50,40,50,25,1,False
96,89,Poison,,400,105,105,75,65,100,50,1,False
97,90,Water,,280,30,65,100,45,25,40,1,False
98,91,Water,Ice,480,50,95,180,85,45,70,1,False
99,92,Ghost,Poison,275,30,35,30,100,35,80,1,False
100,93,Ghost,Poison,350,45,50,45,115,55,95,1,False
101,94,Ghost,Poison,425,60,65,60,130,75,110,1,False
102,94,Ghost,Poison,505,60,65,80,170,95,130,1,False
103,95,Rock,Ground,340,35,45,160,30,45,70,1,False
104,96,Psychic,,238,60,48,45,43,90,42,1,False
105,97,Psychic,,368,85,73,70,73,115,67,1,False
106,98,Water,,300,30,105,90,25,25,50,1,False
107,99,Water,,425,55,130,115,50,50,75,1,False
108,100,Electric,,275,40,30,50,55,55,100,1,False
109,101,Electric,,400,60,50,70,80,80,140,1,False
110,102,Grass,Psychic,280,60,40,80,60,45,40,1,False
111,103,Grass,Psychic,455,95,95,85,125,65,55,1,False
112,104,Ground,,270,50,50,95,40,50,35,1,False
113,105,Ground,,345,60,80,110,50,80,45,1,False
114,106,Fighting,,345,50,120,53,35,110,87,1,False
115,107,Fighting,,345,50,105,79,35,110,76,1,False
116,108,Normal,,310,90,55,75,60,75,30,1,False
117,109,Poison,,295,40,65,95,60,45,35,1,False
118,110,Poison,,420,65,90,120,85,70,60,1,False
119,111,Ground,Rock,315,80,85,95,30,30,25,1,False
120,112,Ground,Rock,440,105,130,120,45,45,40,1,False
121,113,Normal,,345,250,5,5,35,105,50,1,False
122,114,Grass,,395,65,55,115,100,40,60,1,False
123,115,Normal,,410,105,95,80,40,80,90,1,False
124,115,Normal,,490,105,125,100,60,100,100,1,False
125,116,Water,,270,30,40,70,70,25,60,1,False
126,117,Water,,395,55,65,95,95,45,85,1,False
127,118,Water,,270,45,67,60,35,50,63,1,False
128,119,Water,,370,80,92,65,65,80,68,1,False
129,120,Water,,285,30,45,55,70,55,85,1,False
130,121,Water,Psychic,435,60,75,85,100,85,115,1,False
131,122,Psychic,Fairy,340,40,45,65,100,120,90,1,False
132,123,Bug,Flying,420,70,110,80,55,80,105,1,False
133,124,Ice,Psychic,360,65,50,35,115,95,95,1,False
134,125,Electric,,405,65,83,57,95,85,105,1,False
135,126,Fire,,410,65,95,57,100,85,93,1,False
136,127,Bug,,430,65,125,100,55,70,85,1,False
137,127,Bug,Flying,510,65,155,120,65,90,105,1,False
138,128,Normal,,420,75,100,95,40,70,110,1,False
139,129,Water,,180,20,10,55,15,20,80,1,False
140,130,Water,Flying,440,95,125,79,60,100,81,1,False
141,130,Water,Dark,510,95,155,109,70,130,81,1,False
142,131,Water,Ice,440,130,85,80,85,95,60,1,False
143,132,Normal,,240,48,48,48,48,48,48,1,False
144,133,Normal,,260,55,55,50,45,65,55,1,False
145,134,Water,,430,130,65,60,110,95,65,1,False
146,135,Electric,,430,65,65,60,110,95,130,1,False
147,136,Fire,,415,65,130,60,95,110,65,1,False
148,137,Normal,,320,65,60,70,85,75,40,1,False
149,138,Rock,Water,300,35,40,100,90,55,35,1,False
150,139,Rock,Water,425,70,60,125,115,70,55,1,False
151,140,Rock,Water,310,30,80,90,55,45,55,1,False
152,141,Rock,Water,425,60,115,105,65,70,80,1,False
153,142,Rock,Flying,440,80,105,65,60,75,130,1,False
154,142,Rock,Flying,520,80,135,85,70,95,150,1,False
155,143,Normal,,430,160,110,65,65,110,30,1,False
156,144,Ice,Flying,455,90,85,100,95,125,85,1,True
157,145,Electric,Flying,490,90,90,85,125,90,100,1,True
158,146,Fire,Flying,495,90,100,90,125,85,90,1,True
159,147,Dragon,,250,41,64,45,50,50,50,1,False
160,148,Dragon,,350,61,84,65,70,70,70,1,False
161,149,Dragon,Flying,500,91,134,95,100,100,80,1,False
162,150,Psychic,,590,106,110,90,154,90,130,1,True
163,150,Psychic,Fighting,680,106,190,100,154,100,130,1,True
164,150,Psychic,,660,106,150,70,194,120,140,1,True
165,151,Psychic,,500,100,100,100,100,100,100,1,False
166,152,Grass,,253,45,49,65,49,65,45,2,False
167,153,Grass,,325,60,62,80,63,80,60,2,False
168,154,Grass,,425,80,82,100,83,100,80,2,False
169,155,Fire,,259,39,52,43,60,50,65,2,False
170,156,Fire,,340,58,64,58,80,65,80,2,False
171,157,Fire,,449,78,84,78,109,85,100,2,False
172,158,Water,,266,50,65,64,44,48,43,2,False
173,159,Water,,342,65,80,80,59,63,58,2,False
174,160,Water,,447,85,105,100,79,83,78,2,False
175,161,Normal,,170,35,46,34,35,45,20,2,False
176,162,Normal,,360,85,76,64,45,55,90,2,False
177,163,Normal,Flying,206,60,30,30,36,56,50,2,False
178,164,Normal,Flying,346,100,50,50,76,96,70,2,False
179,165,Bug,Flying,185,40,20,30,40,80,55,2,False
180,166,Bug,Flying,280,55,35,50,55,110,85,2,False
181,167,Bug,Poison,210,40,60,40,40,40,30,2,False
182,168,Bug,Poison,330,70,90,70,60,60,40,2,False
183,169,Poison,Flying,455,85,90,80,70,80,130,2,False
184,170,Water,Electric,274,75,38,38,56,56,67,2,False
185,171,Water,Electric,384,125,58,58,76,76,67,2,False
186,172,Electric,,170,20,40,15,35,35,60,2,False
187,173,Fairy,,163,50,25,28,45,55,15,2,False
188,174,Normal,Fairy,190,90,30,15,40,20,15,2,False
189,175,Fairy,,180,35,20,65,40,65,20,2,False
190,176,Fairy,Flying,300,55,40,85,80,105,40,2,False
191,177,Psychic,Flying,275,40,50,45,70,45,70,2,False
192,178,Psychic,Flying,400,65,75,70,95,70,95,2,False
193,179,Electric,,235,55,40,40,65,45,35,2,False
194,180,Electric,,305,70,55,55,80,60,45,2,False
195,181,Electric,,420,90,75,85,115,90,55,2,False
196,181,Electric,Dragon,500,90,95,105,165,110,45,2,False
197,182,Grass,,390,75,80,95,90,100,50,2,False
198,183,Water,Fairy,200,70,20,50,20,50,40,2,False
199,184,Water,Fairy,340,100,50,80,60,80,50,2,False
200,185,Rock,,345,70,100,115,30,65,30,2,False
201,186,Water,,400,90,75,75,90,100,70,2,False
202,187,Grass,Flying,195,35,35,40,35,55,50,2,False
203,188,Grass,Flying,275,55,45,50,45,65,80,2,False
204,189,Grass,Flying,365,75,55,70,55,95,110,2,False
205,190,Normal,,305,55,70,55,40,55,85,2,False
206,191,Grass,,150,30,30,30,30,30,30,2,False
207,192,Grass,,340,75,75,55,105,85,30,2,False
208,193,Bug,Flying,345,65,65,45,75,45,95,2,False
209,194,Water,Ground,185,55,45,45,25,25,15,2,False
210,195,Water,Ground,365,95,85,85,65,65,35,2,False
211,196,Psychic,,430,65,65,60,130,95,110,2,False
212,197,Dark,,395,95,65,110,60,130,65,2,False
213,198,Dark,Flying,363,60,85,42,85,42,91,2,False
214,199,Water,Psychic,380,95,75,80,100,110,30,2,False
215,200,Ghost,,350,60,60,60,85,85,85,2,False
216,201,Psychic,,288,48,72,48,72,48,48,2,False
217,202,Psychic,,347,190,33,58,33,58,33,2,False
218,203,Normal,Psychic,390,70,80,65,90,65,85,2,False
219,204,Bug,,255,50,65,90,35,35,15,2,False
220,205,Bug,Steel,405,75,90,140,60,60,40,2,False
221,206,Normal,,350,100,70,70,65,65,45,2,False
222,207,Ground,Flying,365,65,75,105,35,65,85,2,False
223,208,Steel,Ground,445,75,85,200,55,65,30,2,False
224,208,Steel,Ground,515,75,125,230,55,95,30,2,False
225,209,Fairy,,260,60,80,50,40,40,30,2,False
226,210,Fairy,,390,90,120,75,60,60,45,2,False
227,211,Water,Poison,375,65,95,75,55,55,85,2,False
228,212,Bug,Steel,420,70,130,100,55,80,65,2,False
229,212,Bug,Steel,500,70,150,140,65,100,75,2,False
230,213,Bug,Rock,275,20,10,230,10,230,5,2,False
231,214,Bug,Fighting,405,80,125,75,40,95,85,2,False
232,214,Bug,Fighting,495,80,185,115,40,105,75,2,False
233,215,Dark,Ice,355,55,95,55,35,75,115,2,False
234,216,Normal,,280,60,80,50,50,50,40,2,False
235,217,Normal,,425,90,130,75,75,75,55,2,False
236,218,Fire,,210,40,40,40,70,40,20,2,False
237,219,Fire,Rock,330,50,50,120,80,80,30,2,False
238,220,Ice,Ground,220,50,50,40,30,30,50,2,False
239,221,Ice,Ground,390,100,100,80,60,60,50,2,False
240,222,Water,Rock,295,55,55,85,65,85,35,2,False
241,223,Water,,265,35,65,35,65,35,65,2,False
242,224,Water,,405,75,105,75,105,75,45,2,False
243,225,Ice,Flying,285,45,55,45,65,45,75,2,False
244,226,Water,Flying,325,65,40,70,80,140,70,2,False
245,227,Steel,Flying,395,65,80,140,40,70,70,2,False
246,228,Dark,Fire,280,45,60,30,80,50,65,2,False
247,229,Dark,Fire,420,75,90,50,110,80,95,2,False
248,229,Dark,Fire,510,75,90,90,140,90,115,2,False
249,230,Water,Dragon,445,75,95,95,95,95,85,2,False
250,231,Ground,,290,90,60,60,40,40,40,2,False
251,232,Ground,,440,90,120,120,60,60,50,2,False
252,233,Normal,,420,85,80,90,105,95,60,2,False
253,234,Normal,,400,73,95,62,85,65,85,2,False
254,235,Normal,,205,55,20,35,20,45,75,2,False
255,236,Fighting,,175,35,35,35,35,35,35,2,False
256,237,Fighting,,345,50,95,95,35,110,70,2,False
257,238,Ice,Psychic,240,45,30,15,85,65,65,2,False
258,239,Electric,,305,45,63,37,65,55,95,2,False
259,240,Fire,,310,45,75,37,70,55,83,2,False
260,241,Normal,,420,95,80,105,40,70,100,2,False
261,242,Normal,,405,255,10,10,75,135,55,2,False
262,243,Electric,,480,90,85,75,115,100,115,2,True
263,244,Fire,,505,115,115,85,90,75,100,2,True
264,245,Water,,465,100,75,115,90,115,85,2,True
265,246,Rock,Ground,250,50,64,50,45,50,41,2,False
266,247,Rock,Ground,340,70,84,70,65,70,51,2,False
267,248,Rock,Dark,500,100,134,110,95,100,61,2,False
268,248,Rock,Dark,580,100,164,150,95,120,71,2,False
269,249,Psychic,Flying,526,106,90,130,90,154,110,2,True
270,250,Fire,Flying,526,106,130,90,110,154,90,2,True
271,251,Psychic,Grass,500,100,100,100,100,100,100,2,False
272,252,Grass,,255,40,45,35,65,55,70,3,False
273,253,Grass,,340,50,65,45,85,65,95,3,False
274,254,Grass,,445,70,85,65,105,85,120,3,False
275,254,Grass,Dragon,545,70,110,75,145,85,145,3,False
276,255,Fire,,260,45,60,40,70,50,45,3,False
277,256,Fire,Fighting,345,60,85,60,85,60,55,3,False
278,257,Fire,Fighting,460,80,120,70,110,70,80,3,False
279,257,Fire,Fighting,550,80,160,80,130,80,100,3,False
280,258,Water,,260,50,70,50,50,50,40,3,False
281,259,Water,Ground,335,70,85,70,60,70,50,3,False
282,260,Water,Ground,445,100,110,90,85,90,60,3,False
283,260,Water,Ground,525,100,150,110,95,110,70,3,False
284,261,Dark,,190,35,55,35,30,30,35,3,False
285,262,Dark,,360,70,90,70,60,60,70,3,False
286,263,Normal,,199,38,30,41,30,41,60,3,False
287,264,Normal,,359,78,70,61,50,61,100,3,False
288,265,Bug,,165,45,45,35,20,30,20,3,False
289,266,Bug,,180,50,35,55,25,25,15,3,False
290,267,Bug,Flying,345,60,70,50,100,50,65,3,False
291,268,Bug,,180,50,35,55,25,25,15,3,False
292,269,Bug,Poison,295,60,50,70,50,90,65,3,False
293,270,Water,Grass,170,40,30,30,40,50,30,3,False
294,271,Water,Grass,270,60,50,50,60,70,50,3,False
295,272,Water,Grass,380,80,70,70,90,100,70,3,False
296,273,Grass,,190,40,40,50,30,30,30,3,False
297,274,Grass,Dark,300,70,70,40,60,40,60,3,False
298,275,Grass,Dark,420,90,100,60,90,60,80,3,False
299,276,Normal,Flying,240,40,55,30,30,30,85,3,False
300,277,Normal,Flying,380,60,85,60,50,50,125,3,False
301,278,Water,Flying,240,40,30,30,55,30,85,3,False
302,279,Water,Flying,360,60,50,100,85,70,65,3,False
303,280,Psychic,Fairy,163,28,25,25,45,35,40,3,False
304,281,Psychic,Fairy,223,38,35,35,65,55,50,3,False
305,282,Psychic,Fairy,403,68,65,65,125,115,80,3,False
306,282,Psychic,Fairy,483,68,85,65,165,135,100,3,False
307,283,Bug,Water,217,40,30,32,50,52,65,3,False
308,284,Bug,Flying,332,70,60,62,80,82,60,3,False
309,285,Grass,,235,60,40,60,40,60,35,3,False
310,286,Grass,Fighting,400,60,130,80,60,60,70,3,False
311,287,Normal,,245,60,60,60,35,35,30,3,False
312,288,Normal,,385,80,80,80,55,55,90,3,False
313,289,Normal,,605,150,160,100,95,65,100,3,False
314,290,Bug,Ground,236,31,45,90,30,30,40,3,False
315,291,Bug,Flying,406,61,90,45,50,50,160,3,False
316,292,Bug,Ghost,206,1,90,45,30,30,40,3,False
317,293,Normal,,217,64,51,23,51,23,28,3,False
318,294,Normal,,317,84,71,43,71,43,48,3,False
319,295,Normal,,417,104,91,63,91,73,68,3,False
320,296,Fighting,,207,72,60,30,20,30,25,3,False
321,297,Fighting,,414,144,120,60,40,60,50,3,False
322,298,Normal,Fairy,150,50,20,40,20,40,20,3,False
323,299,Rock,,285,30,45,135,45,90,30,3,False
324,300,Normal,,225,50,45,45,35,35,50,3,False
325,301,Normal,,325,70,65,65,55,55,70,3,False
326,302,Dark,Ghost,315,50,75,75,65,65,50,3,False
327,302,Dark,Ghost,365,50,85,125,85,115,20,3,False
328,303,Steel,Fairy,325,50,85,85,55,55,50,3,False
329,303,Steel,Fairy,385,50,105,125,55,95,50,3,False
330,304,Steel,Rock,290,50,70,100,40,40,30,3,False
331,305,Steel,Rock,380,60,90,140,50,50,40,3,False
332,306,Steel,Rock,470,70,110,180,60,60,50,3,False
333,306,Steel,,550,70,140,230,60,80,50,3,False
334,307,Fighting,Psychic,225,30,40,55,40,55,60,3,False
335,308,Fighting,Psychic,335,60,60,75,60,75,80,3,False
336,308,Fighting,Psychic,425,60,100,85,80,85,100,3,False
337,309,Electric,,255,40,45,40,65,40,65,3,False
338,310,Electric,,415,70,75,60,105,60,105,3,False
339,310,Electric,,495,70,75,80,135,80,135,3,False
340,311,Electric,,330,60,50,40,85,75,95,3,False
341,312,Electric,,320,60,40,50,75,85,95,3,False
342,313,Bug,,325,65,73,55,47,75,85,3,False
343,314,Bug,,325,65,47,55,73,75,85,3,False
344,315,Grass,Poison,320,50,60,45,100,80,65,3,False
345,316,Poison,,249,70,43,53,43,53,40,3,False
346,317,Poison,,384,100,73,83,73,83,55,3,False
347,318,Water,Dark,285,45,90,20,65,20,65,3,False
348,319,Water,Dark,420,70,120,40,95,40,95,3,False
349,319,Water,Dark,495,70,140,70,110,65,105,3,False
350,320,Water,,365,130,70,35,70,35,60,3,False
351,321,Water,,455,170,90,45,90,45,60,3,False
352,322,Fire,Ground,260,60,60,40,65,45,35,3,False
353,323,Fire,Ground,385,70,100,70,105,75,40,3,False
354,323,Fire,Ground,455,70,120,100,145,105,20,3,False
355,324,Fire,,400,70,85,140,85,70,20,3,False
356,325,Psychic,,250,60,25,35,70,80,60,3,False
357,326,Psychic,,360,80,45,65,90,110,80,3,False
358,327,Normal,,300,60,60,60,60,60,60,3,False
359,328,Ground,,245,45,100,45,45,45,10,3,False
360,329,Ground,Dragon,290,50,70,50,50,50,70,3,False
361,330,Ground,Dragon,440,80,100,80,80,80,100,3,False
362,331,Grass,,295,50,85,40,85,40,35,3,False
363,332,Grass,Dark,415,70,115,60,115,60,55,3,False
364,333,Normal,Flying,235,45,40,60,40,75,50,3,False
365,334,Dragon,Flying,385,75,70,90,70,105,80,3,False
366,334,Dragon,Fairy,485,75,110,110,110,105,80,3,False
367,335,Normal,,398,73,115,60,60,60,90,3,False
368,336,Poison,,398,73,100,60,100,60,65,3,False
369,337,Rock,Psychic,355,70,55,65,95,85,70,3,False
370,338,Rock,Psychic,375,70,95,85,55,65,70,3,False
371,339,Water,Ground,247,50,48,43,46,41,60,3,False
372,340,Water,Ground,397,110,78,73,76,71,60,3,False
373,341,Water,,273,43,80,65,50,35,35,3,False
374,342,Water,Dark,413,63,120,85,90,55,55,3,False
375,343,Ground,Psychic,230,40,40,55,40,70,55,3,False
376,344,Ground,Psychic,380,60,70,105,70,120,75,3,False
377,345,Rock,Grass,268,66,41,77,61,87,23,3,False
378,346,Rock,Grass,388,86,81,97,81,107,43,3,False
379,347,Rock,Bug,305,45,95,50,40,50,75,3,False
380,348,Rock,Bug,415,75,125,100,70,80,45,3,False
381,349,Water,,145,20,15,20,10,55,80,3,False
382,350,Water,,415,95,60,79,100,125,81,3,False
383,351,Normal,,350,70,70,70,70,70,70,3,False
384,352,Normal,,320,60,90,70,60,120,40,3,False
385,353,Ghost,,262,44,75,35,63,33,45,3,False
386,354,Ghost,,392,64,115,65,83,63,65,3,False
387,354,Ghost,,472,64,165,75,93,83,75,3,False
388,355,Ghost,,205,20,40,90,30,90,25,3,False
389,356,Ghost,,325,40,70,130,60,130,25,3,False
390,357,Grass,Flying,373,99,68,83,72,87,51,3,False
391,358,Psychic,,345,65,50,70,95,80,65,3,False
392,359,Dark,,405,65,130,60,75,60,75,3,False
393,359,Dark,,505,65,150,60,115,60,115,3,False
394,360,Psychic,,212,95,23,48,23,48,23,3,False
395,361,Ice,,250,50,50,50,50,50,50,3,False
396,362,Ice,,400,80,80,80,80,80,80,3,False
397,362,Ice,,500,80,120,80,120,80,100,3,False
398,363,Ice,Water,240,70,40,50,55,50,25,3,False
399,364,Ice,Water,340,90,60,70,75,70,45,3,False
400,365,Ice,Water,440,110,80,90,95,90,65,3,False
401,366,Water,,290,35,64,85,74,55,32,3,False
402,367,Water,,410,55,104,105,94,75,52,3,False
403,368,Water,,410,55,84,105,114,75,52,3,False
404,369,Water,Rock,420,100,90,130,45,65,55,3,False
405,370,Water,,265,43,30,55,40,65,97,3,False
406,371,Dragon,,270,45,75,60,40,30,50,3,False
407,372,Dragon,,370,65,95,100,60,50,50,3,False
408,373,Dragon,Flying,520,95,135,80,110,80,100,3,False
409,373,Dragon,Flying,610,95,145,130,120,90,120,3,False
410,374,Steel,Psychic,240,40,55,80,35,60,30,3,False
411,375,Steel,Psychic,340,60,75,100,55,80,50,3,False
412,376,Steel,Psychic,510,80,135,130,95,90,70,3,False
413,376,Steel,Psychic,590,80,145,150,105,110,110,3,False
414,377,Rock,,480,80,100,200,50,100,50,3,True
415,378,Ice,,380,80,50,100,100,200,50,3,True
416,379,Steel,,430,80,75,150,75,150,50,3,True
417,380,Dragon,Psychic,470,80,80,90,110,130,110,3,True
418,380,Dragon,Psychic,550,80,100,120,140,150,110,3,True
419,381,Dragon,Psychic,490,80,90,80,130,110,110,3,True
420,381,Dragon,Psychic,580,80,130,100,160,120,110,3,True
421,382,Water,,530,100,100,90,150,140,90,3,True
422,382,Water,,610,100,150,90,180,160,90,3,True
423,383,Ground,,580,100,150,140,100,90,90,3,True
424,383,Ground,Fire,680,100,180,160,150,90,90,3,True
425,384,Dragon,Flying,590,105,150,90,150,90,95,3,True
426,384,Dragon,Flying,680,105,180,100,180,100,115,3,True
427,385,Steel,Psychic,500,100,100,100,100,100,100,3,True
428,386,Psychic,,550,50,150,50,150,50,150,3,True
429,386,Psychic,,580,50,180,20,180,20,150,3,True
430,386,Psychic,,440,50,70,160,70,160,90,3,True
431,386,Psychic,,510,50,95,90,95,90,180,3,True
432,387,Grass,,263,55,68,64,45,55,31,4,False
433,388,Grass,,340,75,89,85,55,65,36,4,False
434,389,Grass,Ground,440,95,109,105,75,85,56,4,False
435,390,Fire,,265,44,58,44,58,44,61,4,False
436,391,Fire,Fighting,353,64,78,52,78,52,81,4,False
437,392,Fire,Fighting,463,76,104,71,104,71,108,4,False
438,393,Water,,258,53,51,53,61,56,40,4,False
439,394,Water,,329,64,66,68,81,76,50,4,False
440,395,Water,Steel,429,84,86,88,111,101,60,4,False
441,396,Normal,Flying,215,40,55,30,30,30,60,4,False
442,397,Normal,Flying,300,55,75,50,40,40,80,4,False
443,398,Normal,Flying,425,85,120,70,50,60,100,4,False
444,399,Normal,,210,59,45,40,35,40,31,4,False
445,400,Normal,Water,350,79,85,60,55,60,71,4,False
446,401,Bug,,153,37,25,41,25,41,25,4,False
447,402,Bug,,333,77,85,51,55,51,65,4,False
448,403,Electric,,229,45,65,34,40,34,45,4,False
449,404,Electric,,314,60,85,49,60,49,60,4,False
450,405,Electric,,444,80,120,79,95,79,70,4,False
451,406,Grass,Poison,210,40,30,35,50,70,55,4,False
452,407,Grass,Poison,410,60,70,65,125,105,90,4,False
453,408,Rock,,320,67,125,40,30,30,58,4,False
454,409,Rock,,445,97,165,60,65,50,58,4,False
455,410,Rock,Steel,262,30,42,118,42,88,30,4,False
456,411,Rock,Steel,357,60,52,168,47,138,30,4,False
457,412,Bug,,179,40,29,45,29,45,36,4,False
458,413,Bug,Grass,319,60,59,85,79,105,36,4,False
459,413,Bug,Ground,339,60,79,105,59,85,36,4,False
460,413,Bug,Steel,329,60,69,95,69,95,36,4,False
461,414,Bug,Flying,374,70,94,50,94,50,66,4,False
462,415,Bug,Flying,202,30,30,42,30,42,70,4,False
463,416,Bug,Flying,372,70,80,102,80,102,40,4,False
464,417,Electric,,315,60,45,70,45,90,95,4,False
465,418,Water,,300,55,65,35,60,30,85,4,False
466,419,Water,,445,85,105,55,85,50,115,4,False
467,420,Grass,,222,45,35,45,62,53,35,4,False
468,421,Grass,,372,70,60,70,87,78,85,4,False
469,422,Water,,263,76,48,48,57,62,34,4,False
470,423,Water,Ground,393,111,83,68,92,82,39,4,False
471,424,Normal,,416,75,100,66,60,66,115,4,False
472,425,Ghost,Flying,304,90,50,34,60,44,70,4,False
473,426,Ghost,Flying,444,150,80,44,90,54,80,4,False
474,427,Normal,,294,55,66,44,44,56,85,4,False
475,428,Normal,,384,65,76,84,54,96,105,4,False
476,428,Normal,Fighting,484,65,136,94,54,96,135,4,False
477,429,Ghost,,390,60,60,60,105,105,105,4,False
478,430,Dark,Flying,453,100,125,52,105,52,71,4,False
479,431,Normal,,273,49,55,42,42,37,85,4,False
480,432,Normal,,393,71,82,64,64,59,112,4,False
481,433,Psychic,,235,45,30,50,65,50,45,4,False
482,434,Poison,Dark,288,63,63,47,41,41,74,4,False
483,435,Poison,Dark,418,103,93,67,71,61,84,4,False
484,436,Steel,Psychic,214,57,24,86,24,86,23,4,False
